experiment_name,dgp,seed,n_train,variation,rmse_credible,coverage_credible,gr_rmse_credible,ess_rmse_credible,rmse_predictive,coverage_predictive,gr_rmse_predictive,ess_rmse_predictive,rmse_pred_vs_true,coverage_pred_vs_true,gr_rmse_pred_vs_true,ess_rmse_pred_vs_true
Burn-in,1199_BNG_echoMonths,14,500,nskip_10000,11.935133849386393,0.5395,1.0003115871957386,26747.526960929637,11.93571799924909,0.9655,1.000100895426588,48930.10386444495,11.93571799924909,0.9655,1.000100895426588,48930.10386444495
Burn-in,1199_BNG_echoMonths,15,500,nskip_10000,11.818638676476183,0.5489285714285714,1.000089171559544,21758.21727411315,11.820048314177097,0.9587142857142856,1.000037892567577,50407.45663267274,11.820048314177097,0.9587142857142856,1.000037892567577,50407.45663267274
Burn-in,1199_BNG_echoMonths,16,500,nskip_10000,11.60297415004873,0.5597857142857143,1.0001734259160913,22086.69247526457,11.604489366066364,0.9499285714285715,1.0000087430428808,46142.97326431569,11.604489366066364,0.9499285714285715,1.0000087430428808,46142.97326431569
Burn-in,1199_BNG_echoMonths,17,500,nskip_10000,12.047565686252799,0.5255,1.0001527509842247,20070.82981797376,12.047424700206136,0.9289285714285714,0.9999694514662644,44946.845149432935,12.047424700206136,0.9289285714285714,0.9999694514662644,44946.845149432935
Burn-in,1199_BNG_echoMonths,18,500,nskip_10000,11.951964168284164,0.5458571428571428,1.0002705570448722,26233.579125418015,11.95139865518161,0.9545714285714285,1.0000046805046405,50524.29192520791,11.95139865518161,0.9545714285714285,1.0000046805046405,50524.29192520791
Burn-in,1199_BNG_echoMonths,19,500,nskip_10000,12.0110770932531,0.5153571428571428,1.0000911813458695,24441.439681115953,12.012873174962024,0.9331428571428573,1.000051036926283,46284.9611279906,12.012873174962024,0.9331428571428573,1.000051036926283,46284.9611279906
Burn-in,1199_BNG_echoMonths,20,500,nskip_10000,11.758145231688472,0.5315714285714286,0.9999953461102126,24818.13635797003,11.75911406732941,0.9318571428571428,1.0001044682593485,47559.64090407769,11.75911406732941,0.9318571428571428,1.0001044682593485,47559.64090407769
Burn-in,1199_BNG_echoMonths,21,500,nskip_10000,12.025966362822796,0.49842857142857144,1.0000301309817534,23883.552210165522,12.026323970022005,0.9213571428571428,0.9999915949652642,48926.073121178975,12.026323970022005,0.9213571428571428,0.9999915949652642,48926.073121178975
Burn-in,1199_BNG_echoMonths,22,500,nskip_10000,11.92207416559654,0.526357142857143,1.0001101517794504,27055.334721201652,11.920496864155096,0.9487857142857143,1.0000220803831985,56011.836372989914,11.920496864155096,0.9487857142857143,1.0000220803831985,56011.836372989914
Burn-in,1199_BNG_echoMonths,23,500,nskip_10000,11.813931157611828,0.5197142857142857,1.0001309974057282,26471.138310916427,11.814176853425419,0.9632857142857143,1.0000203862427017,47792.22504318705,11.814176853425419,0.9632857142857143,1.0000203862427017,47792.22504318705
Burn-in,1199_BNG_echoMonths,24,500,nskip_10000,11.946475771617152,0.5602857142857143,1.00017155034032,19618.607788749072,11.946540533923402,0.9524285714285714,1.000054784943656,43443.268813416056,11.946540533923402,0.9524285714285714,1.000054784943656,43443.268813416056
Burn-in,1199_BNG_echoMonths,25,500,nskip_10000,11.778557814259138,0.5442857142857143,1.0000024381319041,29869.693515416806,11.778482328776747,0.96,0.9999892082112133,50901.713636979206,11.778482328776747,0.96,0.9999892082112133,50901.713636979206
